Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.128347993,0.128905997,0.128347993,0.128347993,0.099057727,469033600
1980-12-15,0.122210003,0.122210003,0.121652,0.121652,0.09388981,175884800
1980-12-16,0.113280997,0.113280997,0.112723,0.112723,0.086998537,105728000
1980-12-17,0.115512997,0.116071001,0.115512997,0.115512997,0.089151815,86441600
1980-12-18,0.118862003,0.119419999,0.118862003,0.118862003,0.091736548,73449600
1980-12-19,0.126115993,0.126673996,0.126115993,0.126115993,0.09733513,48630400
1980-12-22,0.132254004,0.132813007,0.132254004,0.132254004,0.102072343,37363200
1980-12-23,0.137834996,0.138393,0.137834996,0.137834996,0.106379718,46950400
1980-12-24,0.145089,0.145647004,0.145089,0.145089,0.111978278,48003200
1980-12-26,0.158482,0.159040004,0.158482,0.158482,0.122314803,55574400
1980-12-29,0.160714,0.161272004,0.160714,0.160714,0.124037504,93161600
1980-12-30,0.157365993,0.157365993,0.156808004,0.156808004,0.121022895,68880000
1980-12-31,0.152902007,0.152902007,0.152344003,0.152344003,0.11757762,35750400
1981-01-02,0.154018,0.155134007,0.154018,0.154018,0.118869565,21660800
1981-01-05,0.151227996,0.151227996,0.150670007,0.150670007,0.116285644,35728000
1981-01-06,0.144530997,0.144530997,0.143972993,0.143972993,0.111116998,45158400
1981-01-07,0.138393,0.138393,0.137834996,0.137834996,0.106379718,55686400
1981-01-08,0.135602996,0.135602996,0.135045007,0.135045007,0.104226463,39827200
1981-01-09,0.142298996,0.142857,0.142298996,0.142298996,0.109824963,21504000
1981-01-12,0.142298996,0.142298996,0.141183004,0.141183004,0.108963653,23699200
1981-01-13,0.136719003,0.136719003,0.136161,0.136161,0.105087757,23049600
1981-01-14,0.136719003,0.137277007,0.136719003,0.136719003,0.105518453,14291200
1981-01-15,0.139509007,0.140625,0.139509007,0.139509007,0.107671715,14067200
1981-01-16,0.138951004,0.138951004,0.138393,0.138393,0.106810361,13395200
1981-01-19,0.146762997,0.147321001,0.146762997,0.146762997,0.113270298,41574400
1981-01-20,0.142857,0.142857,0.142298996,0.142298996,0.109824963,30083200
1981-01-21,0.145089,0.146204993,0.145089,0.145089,0.111978278,15904000
1981-01-22,0.146762997,0.147879004,0.146762997,0.146762997,0.113270298,35548800
1981-01-23,0.146762997,0.147321001,0.146204993,0.146204993,0.112839669,11222400
1981-01-26,0.144530997,0.144530997,0.143972993,0.143972993,0.111116998,24640000
1981-01-27,0.143972993,0.143972993,0.142857,0.142857,0.110255659,23699200
1981-01-28,0.138951004,0.138951004,0.138393,0.138393,0.106810361,28156800
1981-01-29,0.133928999,0.133928999,0.133370996,0.133370996,0.102934457,43904000
1981-01-30,0.127232,0.127232,0.126115993,0.126115993,0.09733513,46188800
1981-02-02,0.119419999,0.119419999,0.118862003,0.118862003,0.091736548,23766400
1981-02-03,0.123326004,0.123884,0.123326004,0.123326004,0.095181786,19152000
1981-02-04,0.127790004,0.128347993,0.127790004,0.127790004,0.098627105,27865600
1981-02-05,0.127790004,0.128905997,0.127790004,0.127790004,0.098627105,7929600
1981-02-06,0.128347993,0.128905997,0.128347993,0.128347993,0.099057727,13865600
1981-02-09,0.122768,0.122768,0.121652,0.121652,0.09388981,16755200
1981-02-10,0.121652,0.122210003,0.121652,0.121652,0.09388981,18345600
1981-02-11,0.118303999,0.118303999,0.117746003,0.117746003,0.090875231,13843200
1981-02-12,0.117187999,0.117187999,0.116628997,0.116628997,0.090013146,14560000
1981-02-13,0.114955001,0.114955001,0.113839,0.113839,0.087859824,11155200
1981-02-17,0.116628997,0.117187999,0.116628997,0.116628997,0.090013146,12275200
1981-02-18,0.121652,0.122768,0.121652,0.121652,0.09388981,19241600
1981-02-19,0.114955001,0.114955001,0.114396997,0.114396997,0.08829049,22310400
1981-02-20,0.108817004,0.108817004,0.108259,0.108259,0.08355324,24371200
1981-02-23,0.109932996,0.110491,0.109932996,0.109932996,0.084845223,14112000
1981-02-24,0.107143,0.107143,0.106027,0.106027,0.081830598,16979200
1981-02-25,0.112723,0.113280997,0.112723,0.112723,0.086998537,19488000
1981-02-26,0.114396997,0.114955001,0.114396997,0.114396997,0.08829049,10841600
1981-02-27,0.118303999,0.119419999,0.118303999,0.118303999,0.091305882,14761600
1981-03-02,0.118862003,0.119419999,0.118862003,0.118862003,0.091736548,11760000
1981-03-03,0.117746003,0.117746003,0.117187999,0.117187999,0.09044458,16172800
1981-03-04,0.116628997,0.116628997,0.116071001,0.116071001,0.089582488,13708800
1981-03-05,0.116071001,0.116071001,0.115512997,0.115512997,0.089151815,5376000
1981-03-06,0.115512997,0.115512997,0.114396997,0.114396997,0.08829049,11603200
1981-03-09,0.106027,0.106027,0.105469003,0.105469003,0.081399992,15321600
1981-03-10,0.101003997,0.101003997,0.100446001,0.100446001,0.077523246,28380800
1981-03-11,0.097655997,0.097655997,0.096539997,0.096539997,0.074508622,29859200
1981-03-12,0.100446001,0.101003997,0.100446001,0.100446001,0.077523246,59248000
